close,date,high,low,open
1243.875,2014-06-02,1250.92993,1241.05005,1249.625
1244.94995,2014-06-03,1247.82007,1240.51001,1243.82007
1245.55505,2014-06-04,1246.98499,1243.30005,1244.94995
1253.56494,2014-06-05,1258.08008,1241.13989,1243.48499
1253.15002,2014-06-06,1257.91504,1245.84998,1253.64001
1252.28003,2014-06-09,1257.19995,1251.09998,1253.15002
1259.88989,2014-06-10,1263.76001,1249.90002,1252.375
1261.09998,2014-06-11,1265.44995,1257.79004,1259.90002
1273.38,2014-06-12,1274.96509,1259.40002,1261.0249
1276.88989,2014-06-13,1278.01001,1270.65002,1273.34998
1271.89001,2014-06-16,1285.03003,1270.19995,1277.08008
1270.57495,2014-06-17,1273.40002,1258.73499,1272.01489
1277.76489,2014-06-18,1278.61499,1266.30005,1270.67993
1320.34998,2014-06-19,1321.67993,1275.5,1277.7251
1314.30005,2014-06-20,1322.12,1306.54004,1320.34998
1317.0,2014-06-23,1318.65002,1309.69995,1314.90002
1318.375,2014-06-24,1326.03503,1313.40002,1317.47998
1319.25,2014-06-25,1324.94995,1307.125,1318.31006
1316.70996,2014-06-26,1320.02002,1306.15002,1319.22998
1316.21997,2014-06-27,1322.44995,1312.69995,1316.19995
1326.80005,2014-06-30,1329.65002,1310.40002,1316.1499
1326.42993,2014-07-01,1333.41504,1323.80005,1327.20996
1326.83008,2014-07-02,1332.17505,1321.35498,1326.52002
1319.0,2014-07-03,1327.70496,1309.44995,1326.93506
1320.92505,2014-07-04,1323.34998,1318.19995,1319.56006
1319.93005,2014-07-07,1321.11499,1311.5,1320.92505
1319.255,2014-07-08,1324.90002,1313.47998,1319.92505
1327.73499,2014-07-09,1332.48499,1317.5,1319.28003
1335.73999,2014-07-10,1345.34009,1324.23999,1327.72998
1338.6001,2014-07-11,1339.44995,1333.79492,1335.75
1307.19995,2014-07-14,1339.81494,1302.75,1338.6001
1294.07007,2014-07-15,1313.86499,1292.0,1307.08496
1299.25,2014-07-16,1303.87,1293.28003,1293.94995
1319.31006,2014-07-17,1324.61499,1297.19995,1298.80005
1310.5,2014-07-18,1324.94995,1304.55005,1319.2749
1312.44995,2014-07-21,1318.69995,1307.0,1311.14001
1306.34998,2014-07-22,1315.96997,1301.94995,1312.43994
1304.19995,2014-07-23,1311.40002,1303.15002,1306.30005
1293.65503,2014-07-24,1305.5,1287.55005,1304.62
1307.56494,2014-07-25,1308.79004,1290.5,1293.65991
1303.59998,2014-07-28,1309.34497,1300.90002,1307.34497
1298.59998,2014-07-29,1312.31995,1295.5,1304.09497
1296.255,2014-07-30,1303.90002,1291.84998,1299.08008
1282.19995,2014-07-31,1297.5,1280.5,1296.25
1293.69995,2014-08-01,1297.44995,1280.34998,1282.73511
1287.95496,2014-08-04,1295.57495,1286.15002,1293.40503
1288.84998,2014-08-05,1294.15002,1282.55005,1288.22498
1305.91992,2014-08-06,1310.0,1287.19995,1288.30005
1312.58496,2014-08-07,1315.30005,1302.03491,1305.92004
1309.80505,2014-08-08,1323.0,1305.34998,1312.09998
1308.40991,2014-08-11,1311.63,1304.69995,1309.58496
1315.65991,2014-08-12,1316.58008,1305.59998,1308.44995
1312.95508,2014-08-13,1315.13,1304.80005,1308.82495
